index	renderer	cache_key	raw_bytes	consumed_bytes	width	height	row_bytes	mask_bytes	sha256	mask_file
88	0x4c9a28	0x0042	420000	1	16	16	2	32	6036fa6091b66a9ce03415ea2f59164c2d2496a1a041a59fb862b5623517370f	masks/glyph-000088-16x16-key-0042.bin
89	0x4c9a28	0x43b9	b94300	2	16	16	2	32	a86adbb30d0e2cb6e5f90cea08d596ae44806d4587af2334dc41fcf613b5e410	masks/glyph-000089-16x16-key-43B9.bin
90	0x4c9a28	0xb8c0	c0b800	2	16	16	2	32	d3c3e952092c544b7e11580f5d5f8f2bcfa535e33c126fff4aa4f13937c93684	masks/glyph-000090-16x16-key-B8C0.bin
91	0x4c9a28	0xc4ae	aec400	2	16	16	2	32	f36d5add1322663e23148a6bb1b5a7b2b36c4fb115d2492c51d466c9fc60280e	masks/glyph-000091-16x16-key-C4AE.bin
92	0x4c9a28	0x47aa	aa4700	2	16	16	2	32	50d7ca04cd343efb6d85ec2dd2bfbcfa924b2808ba7fcc99c56e18e6956e584b	masks/glyph-000092-16x16-key-47AA.bin
93	0x4c9a28	0xb3b6	b6b300	2	16	16	2	32	8c567e2bc9091b6ba6665e0a1ee9202784c4351a05604e6864d57c95d8910baf	masks/glyph-000093-16x16-key-B3B6.bin
94	0x4c9a28	0x4da9	a94d00	2	16	16	2	32	82a61ddef8c20a526a9fdca44ddf6e9505a9ec44b22dcba61e0d21920bd079ef	masks/glyph-000094-16x16-key-4DA9.bin
95	0x4c9a28	0x73a4	a47300	2	16	16	2	32	b805812037430c98ce7dab80fd0eeb8b08ce794340cc250ec580eb45d1c20fa6	masks/glyph-000095-16x16-key-73A4.bin
96	0x4c9a28	0xbaaa	aaba00	2	16	16	2	32	a575cc63a6748312e6a0fbdfa6d6c4a47b03b90cc15948c59af5e4bd98c69f7d	masks/glyph-000096-16x16-key-BAAA.bin
97	0x4c9a28	0xbca9	a9bc00	2	16	16	2	32	1a121753dcbb1f4ff1f907a5853508294e294b4f6b5d0c00a1f33d92e13349d2	masks/glyph-000097-16x16-key-BCA9.bin
98	0x4c9a28	0xddba	badd00	2	16	16	2	32	3216dade13b1bbd7ff68583f4ecc18a33720711a6fd14e6d9bacf8e036b100ba	masks/glyph-000098-16x16-key-DDBA.bin
99	0x4c9a28	0x41be	be4100	2	16	16	2	32	1974091c409fcd6dce35706c9f010632fdfea724bee2cd9cb367973dcc756f6b	masks/glyph-000099-16x16-key-41BE.bin
100	0x4c9a28	0xa4a4	a4a400	2	16	16	2	32	07554d9513340cd9abd865df96325ab93a553ee91fe6cd3e1381c1b0da5df77f	masks/glyph-000100-16x16-key-A4A4.bin
101	0x4c9a28	0xcfa8	a8cf00	2	16	16	2	32	6c392cc0e33b92e6b161233bdb98448d3d90ffdffc9fafaa5965eb167828f332	masks/glyph-000101-16x16-key-CFA8.bin
102	0x4c9a28	0xcea5	a5ce00	2	16	16	2	32	29c6ae4d4ad5b992dadcc24ecc849db138619aa6936f2834dab10ac22650de62	masks/glyph-000102-16x16-key-CEA5.bin
103	0x4c9a28	0xe3be	bee300	2	16	16	2	32	cc4d311d19fd3aab27108069ae6f0e0bbfaef4cf5b27d6c3ad7837db60feceba	masks/glyph-000103-16x16-key-E3BE.bin
104	0x4c9a28	0x7ab2	b27a00	2	16	16	2	32	85b1516335f2259730d643e3e0d3b7e79f250023d5b12db2b80c1fa1ee0030d2	masks/glyph-000104-16x16-key-7AB2.bin
105	0x4c9a28	0xe1a5	a5e100	2	16	16	2	32	412eaecc388a0e5b217b152a85b4435a3007f8497972f1c35f4948f2966d300e	masks/glyph-000105-16x16-key-E1A5.bin
106	0x4c9a28	0xf3b1	b1f300	2	16	16	2	32	61dce98ba68683bd2bfd8425e02fe51f618bc428e2ada67a7f1dda64a2ea9024	masks/glyph-000106-16x16-key-F3B1.bin
107	0x4c9a28	0xaeb0	b0ae00	2	16	16	2	32	dab6597cc5274d02386537fb76e18ee8238eebb9273301582f0299803d285ced	masks/glyph-000107-16x16-key-AEB0.bin
108	0x4c9a28	0x62b2	b26200	2	16	16	2	32	0098eae892a0ba683ffb08f792127a332da86b1a9c1af4b78ad5aa625f8832ff	masks/glyph-000108-16x16-key-62B2.bin
109	0x4c9a28	0xf4a4	a4f400	2	16	16	2	32	6a05e10fce362f694759671c2b581aa212b96d1ec686cc6cf34e828896162551	masks/glyph-000109-16x16-key-F4A4.bin
110	0x4c9a28	0x43a1	a14300	2	16	16	2	32	c53568d4b0844c106efbd066f56316d3e4bcc848db2036ff3d5f0399a4bd2c1f	masks/glyph-000110-16x16-key-43A1.bin
111	0x4ab998	0x0020	200000	1	20	20	3	60	5dcc1b5872dd9ff1c234501f1fefda01f664164e1583c3e1bb3dbea47588ab31	masks/glyph-000111-20x20-key-0020.bin
112	0x4ab998	0x4db2	b24d00	2	20	20	3	60	c1eef10db0c396c03e7c5619e656977ccfeeb7cac426076fa8563fe61cd41fe5	masks/glyph-000112-20x20-key-4DB2.bin
113	0x4c9a28	0x5ea6	a65e00	2	16	16	2	32	c70a328b4a185c833550bc60a7d0d2510600889de81bb596f140eda906f18ba0	masks/glyph-000113-16x16-key-5EA6.bin
114	0x4c9a28	0x5fb4	b45f00	2	16	16	2	32	04c8ba166f5f28f793385ce6991fcabe5a91e359f121dc90536ced34320bd4ed	masks/glyph-000114-16x16-key-5FB4.bin
115	0x4c9a28	0xe6b3	b3e600	2	16	16	2	32	f23810c1b96b58dee0dc30ed0f83752ec4a31d16fdf39f4ffa63d92e9ff81380	masks/glyph-000115-16x16-key-E6B3.bin
116	0x4c9a28	0x48a4	a44800	2	16	16	2	32	8063365c22a961e8b6aeca491d8cd0f12ccbe5eb0bf468a8ed24656ae6f324e8	masks/glyph-000116-16x16-key-48A4.bin
117	0x4c9a28	0xcda5	a5cd00	2	16	16	2	32	7f35184c4e179503ed8d5b582ad401c2a22e7fe95788245bb7a5eb28ed124a34	masks/glyph-000117-16x16-key-CDA5.bin
118	0x4c9a28	0x52a9	a95200	2	16	16	2	32	395308b814b4a5d03ecc18e23b53a3cb4b6968fef880bc1bb6f43aa5dc8bb09a	masks/glyph-000118-16x16-key-52A9.bin
119	0x4c9a28	0x49c2	c24900	2	16	16	2	32	b5543d6ea57dd5f96f8476ec5f4bb8276623eb9aa4514f606c7e0009ca1cd99f	masks/glyph-000119-16x16-key-49C2.bin
120	0x4ab998	0xc4c3	c3c400	2	20	20	3	60	6f6e87f95bbad07b639d8ed88b9b2d6361720043a50ef84b5eed225ee8254a38	masks/glyph-000120-20x20-key-C4C3.bin
121	0x4ab998	0xf3af	aff300	2	20	20	3	60	21dfeb0eb3e5f68d9e9a2e1458cb829fe9392aaaafb0e0c2ee7ededea3d2f4df	masks/glyph-000121-20x20-key-F3AF.bin
122	0x4ab998	0xb2b5	b5b200	2	20	20	3	60	aa8de7aff74d462a02b434c2e1a48954ef19a547f3101360ad9586f534bdfcec	masks/glyph-000122-20x20-key-B2B5.bin
123	0x4ab998	0xecf5	f5ec00	2	20	20	3	60	b0ceac981306b8fc42fd96ff2a08fb9bbfa8ef8591a9d06a94994a5d5924fe96	masks/glyph-000123-20x20-key-ECF5.bin
124	0x4ab998	0xb2b8	b8b200	2	20	20	3	60	586d93d5459939978c1399babfb1c10d90bc02c7f1d36dd6f37d7a1b6dfb8c5b	masks/glyph-000124-20x20-key-B2B8.bin
125	0x4ab998	0xe5b5	b5e500	2	20	20	3	60	c2900909e8ee04898c0a8ed90267949ab29db6c00879cf322f2fb9172db624ee	masks/glyph-000125-20x20-key-E5B5.bin
126	0x4ab998	0x4cb5	b54c00	2	20	20	3	60	1253e9a8ac3b9a6bc53fe262ba891cc00e052a5519678e5e227f96e00f77fc74	masks/glyph-000126-20x20-key-4CB5.bin
127	0x4ab998	0xc3bb	bbc300	2	20	20	3	60	e2922c3f320d5600ab572fd0c86009436edc97130d708b476083a8e2cb288719	masks/glyph-000127-20x20-key-C3BB.bin
128	0x4ab998	0xe6bb	bbe600	2	20	20	3	60	fa921bb171cb2c65ea5248996308a50f09bbaabc6527ebd6d7f2a34a1421dea7	masks/glyph-000128-20x20-key-E6BB.bin
129	0x4ab998	0x5ea6	a65e00	2	20	20	3	60	7bea37b2faacd7751e3731e2a6873b7500bb1debb6a8bd789e24399c49201812	masks/glyph-000129-20x20-key-5EA6.bin
130	0x4ab998	0x5fb4	b45f00	2	20	20	3	60	3b12ed8ddc52b070d50ebce718b58cf6b5902f94578b0e3e08d9c3f4e47e22e0	masks/glyph-000130-20x20-key-5FB4.bin
131	0x4ab998	0xafbe	beaf00	2	20	20	3	60	9d46913b8b86aeeef373440afef59151a48a235a741c9d8b808c64ba018cccdf	masks/glyph-000131-20x20-key-AFBE.bin
132	0x4ab998	0x5dc5	c55d00	2	20	20	3	60	ebda3645bccb3a24db728cf88dda562105ff4cfe8cae243d01beeef52094257b	masks/glyph-000132-20x20-key-5DC5.bin
133	0x4ab998	0x6baa	aa6b00	2	20	20	3	60	9aae1621e9f439d27ab71d90ed784bce24cbfd06b22319d433e321187ef34793	masks/glyph-000133-20x20-key-6BAA.bin
134	0x4ab998	0xadb8	b8ad00	2	20	20	3	60	49b6f0dff535865f4d7b6ab1e94b8537728908ee9adf7ead499ad0b4537c5ed5	masks/glyph-000134-20x20-key-ADB8.bin
135	0x4ab998	0xd1b8	b8d100	2	20	20	3	60	5c78409d926b834125f5a108e2a9bc0a29ed48adc6bf994964bd7873819f5b47	masks/glyph-000135-20x20-key-D1B8.bin
136	0x4ab998	0x72ac	ac7200	2	20	20	3	60	4bbc64b7a81ca6e8f120aa30d418824a0179b024d2894ed3ef382197657cfac0	masks/glyph-000136-20x20-key-72AC.bin
137	0x4c9a28	0xf3a9	a9f300	2	16	16	2	32	f8b7f01c8b12ef1d2e96e6c219fcc2ca2cf6d5444e9a06a7c6f194c651ed0a20	masks/glyph-000137-16x16-key-F3A9.bin
138	0x4c9a28	0xd4be	bed400	2	16	16	2	32	2918396166b10f0e27bd8f48f76ac98c5feefb4e0acb1bc428cc27372fa6cc50	masks/glyph-000138-16x16-key-D4BE.bin
139	0x4c9a28	0xabb0	b0ab00	2	16	16	2	32	7421565443ef321eabe14306c351a9209039b078362c7e50c1b134bd6887bb52	masks/glyph-000139-16x16-key-ABB0.bin
140	0x4c9a28	0xeba7	a7eb00	2	16	16	2	32	4d42040ca4de0be34f0255af7a1c6d51f2651272318f356dfa74bdba45ff77e3	masks/glyph-000140-16x16-key-EBA7.bin
141	0x4c9a28	0x67ae	ae6700	2	16	16	2	32	f31eea734e2a3c9ae5503b56db040d50e496597014ad92a5e0e00e9a108f3a28	masks/glyph-000141-16x16-key-67AE.bin
142	0x4c9a28	0xc4bc	bcc400	2	16	16	2	32	b49bf8369b9082166a914f458041bd724148d95825b5613de53aa1c9f5f0f8a1	masks/glyph-000142-16x16-key-C4BC.bin
143	0x4c9a28	0x41a1	a14100	2	16	16	2	32	d0efb4d062ee245695adffc58ee476c7d36ecb73c7fa04bcc0510e2475192201	masks/glyph-000143-16x16-key-41A1.bin
144	0x4c9a28	0x79b3	b37900	2	16	16	2	32	99671495e050eb14e73b80f9bfebf617a382a8710e129f0a8ca978e0af2c2ca4	masks/glyph-000144-16x16-key-79B3.bin
145	0x4c9a28	0xa8a6	a6a800	2	16	16	2	32	28d6c33e2285faea6dc66eb8a9c7f5003bba70e89f9a19c6baf011c1327fbb4c	masks/glyph-000145-16x16-key-A8A6.bin
146	0x4c9a28	0xcbb6	b6cb00	2	16	16	2	32	328b75d0966f01bf0001b59e6dc15af3e8964e9b7e578366f7f04b9d5d4fb01b	masks/glyph-000146-16x16-key-CBB6.bin
147	0x4c9a28	0x60ae	ae6000	2	16	16	2	32	4ce451a0094460f1e412168ef6ce19f1ba3f3455cd5ba40aec6a1e36a4b5012b	masks/glyph-000147-16x16-key-60AE.bin
148	0x4ab998	0xb8ad	adb800	2	20	20	3	60	b87cd81cac526fa7fd30bc7222deb9d82ba9c5b7d4ff75ab9512170473f28c82	masks/glyph-000148-20x20-key-B8AD.bin
149	0x4ab998	0xf2a9	a9f200	2	20	20	3	60	23440b2aa06a085e5eb10eecbbee9b528367eec7115edc77e93dc62a50c6aaca	masks/glyph-000149-20x20-key-F2A9.bin
150	0x4ab998	0xd1bd	bdd100	2	20	20	3	60	a10227376a8be06f7025fc5bb1990b2266e6db41321bf31e43af5d37852c26c1	masks/glyph-000150-20x20-key-D1BD.bin
151	0x4ab998	0xe8a4	a4e800	2	20	20	3	60	9008b01a83cf9a722cdf37f4189037430bc909c9732252b1f9592dbc10cb4783	masks/glyph-000151-20x20-key-E8A4.bin
152	0x4ab998	0xabaf	afab00	2	20	20	3	60	8c669c199d5cd7d99b2f2dc37d792d1342c3f56d22e374e2adf32f9257d2b373	masks/glyph-000152-20x20-key-ABAF.bin
153	0x4ab998	0xdba5	a5db00	2	20	20	3	60	84b421e2776f296b53d7cff9374176269eb23c01248176c872b0f3e0bae75cf9	masks/glyph-000153-20x20-key-DBA5.bin
154	0x4c9a28	0xf0a7	a7f000	2	16	16	2	32	5be3ecf7d7fa799c3c56be7e02a6377786a2b5446cf69aab8192451b3ea0ed26	masks/glyph-000154-16x16-key-F0A7.bin
155	0x4c9a28	0xbbc0	c0bb00	2	16	16	2	32	22f72b339cbd15468ce8cce653d1ff618a195b1d02fe2079664d66e13974199e	masks/glyph-000155-16x16-key-BBC0.bin
156	0x4c9a28	0x4fa4	a44f00	2	16	16	2	32	66dd7611e4b1f94d6f392d1b487d9c4105120df9ce81ee203f12759c249d10ed	masks/glyph-000156-16x16-key-4FA4.bin
157	0x4c9a28	0x002b	2b0000	1	16	16	2	32	242bdf349bf250f2f436f9458a810c2141157ac65fa1bad13eaf25cfaf16266a	masks/glyph-000157-16x16-key-002B.bin
158	0x4ab998	0xefc1	c1ef00	2	20	20	3	60	f9bc4fb83f24988247bb971d2994b18c03c4ec0c554800aec82163c4d48a9403	masks/glyph-000158-20x20-key-EFC1.bin
