index	renderer	cache_key	raw_bytes	consumed_bytes	width	height	row_bytes	mask_bytes	sha256	mask_file
108	0x4ab998	0x5ea6	a65e00	2	20	20	3	60	e2585893bee460b607357d088ebec21c0831bed768b1b471542fd73a2026bf2c	masks/glyph-000108-20x20-key-5EA6.bin
109	0x4ab998	0x5fb4	b45f00	2	20	20	3	60	ef6057776f423b9fcd4447390e005e256f7701bcb226393ae53722f5dd84b06c	masks/glyph-000109-20x20-key-5FB4.bin
110	0x4ab998	0xafbe	beaf00	2	20	20	3	60	f7abe02ad8e54873f7fd616bf3db0a8b22c0e205adf88c7b0acc78c28902b910	masks/glyph-000110-20x20-key-AFBE.bin
111	0x4ab998	0x5dc5	c55d00	2	20	20	3	60	d5068ff41f885a245770a5f16f8bb613697af782cae1ace37ac29e9cf1f28cd8	masks/glyph-000111-20x20-key-5DC5.bin
112	0x4ab998	0x6baa	aa6b00	2	20	20	3	60	616a10ec0c12169c327206e4743eab48cf19845a7b4c604bc847f510c664366e	masks/glyph-000112-20x20-key-6BAA.bin
113	0x4ab998	0xadb8	b8ad00	2	20	20	3	60	cfbc41b01ed49526ef51a6421c8565188c754ec0c6564e9cb8bd6d5f43a57699	masks/glyph-000113-20x20-key-ADB8.bin
114	0x4ab998	0xd1b8	b8d100	2	20	20	3	60	c8b963fda145d548ab611fcf828ae21bc23a3e5e3fcf82cf2e79badea362ff8d	masks/glyph-000114-20x20-key-D1B8.bin
115	0x4ab998	0x72ac	ac7200	2	20	20	3	60	dd309df4cd78669522fec04681bd16eb4dae4ae8f004db02192e43cfe4a8ced9	masks/glyph-000115-20x20-key-72AC.bin
116	0x4c9a28	0xf3a9	a9f300	2	16	16	2	32	f4e70bb8b66e049cde52a496621c7b798084358a97e531a2a760de0cbd3ffb48	masks/glyph-000116-16x16-key-F3A9.bin
117	0x4c9a28	0xd4be	bed400	2	16	16	2	32	59fe75ae6dc7ad1f0d14d2e99ce4d214b9c7f95456114c623f99ec1b4a38b902	masks/glyph-000117-16x16-key-D4BE.bin
118	0x4c9a28	0xabb0	b0ab00	2	16	16	2	32	061d0bd4fb8e5466645500b6d9cf65a1df832fd94420e9e467669c69972b56f5	masks/glyph-000118-16x16-key-ABB0.bin
119	0x4c9a28	0xa4a4	a4a400	2	16	16	2	32	52e15140b52bbd2acd894e09f0078064e79803d2e971c78c56180ca461d7db82	masks/glyph-000119-16x16-key-A4A4.bin
120	0x4c9a28	0xeba7	a7eb00	2	16	16	2	32	c681c1fb565eee1e40e59c2be47b00dd6616a326f031830f5f4350426d804355	masks/glyph-000120-16x16-key-EBA7.bin
121	0x4c9a28	0x67ae	ae6700	2	16	16	2	32	ec17c58dfd602afc0384b0eeafc6c1b3d7b2ac0ae142150b2a979cf7f5f206a7	masks/glyph-000121-16x16-key-67AE.bin
122	0x4c9a28	0x41a1	a14100	2	16	16	2	32	2ef148e8aeebe77731c8ab8a17228a66c841db18dc6af689e50c9cb4eb754277	masks/glyph-000122-16x16-key-41A1.bin
123	0x4c9a28	0x79b3	b37900	2	16	16	2	32	87f8ca9953ebf2f0043c9170496f8a36ae038ad672f4e1b00ed3555f5a1fe120	masks/glyph-000123-16x16-key-79B3.bin
124	0x4c9a28	0xa8a6	a6a800	2	16	16	2	32	fb0ea2cf817e0c078805ef6f3432583afeaf2e3ae7c761ab7743212daafd23f1	masks/glyph-000124-16x16-key-A8A6.bin
125	0x4ab998	0xb8ad	adb800	2	20	20	3	60	d1d58bd0d43874a5eebc32456123bcef2dc497edd11d5a8cabd252b14fa2ad5e	masks/glyph-000125-20x20-key-B8AD.bin
126	0x4ab998	0xf2a9	a9f200	2	20	20	3	60	4b88eb57360b38ae3ff591147283d7261bfd3346640962bf0a3a8c7bf7fbec06	masks/glyph-000126-20x20-key-F2A9.bin
127	0x4ab998	0xd1bd	bdd100	2	20	20	3	60	1ad899a15af281a6951c4061fe09ff71093dad3e447f1b23bc05550842a55827	masks/glyph-000127-20x20-key-D1BD.bin
128	0x4ab998	0xe8a4	a4e800	2	20	20	3	60	61de4ddf31c784d881646d5a563cafbde9e097106861843c18b8dad75f32f0f2	masks/glyph-000128-20x20-key-E8A4.bin
129	0x4ab998	0xabaf	afab00	2	20	20	3	60	4c00263e0788bbfb604a0c1f0eb25db376f9cece8d1b188aa6583194384e138f	masks/glyph-000129-20x20-key-ABAF.bin
130	0x4ab998	0xdba5	a5db00	2	20	20	3	60	1d796e7db1d52da0c0fd9029498c6e956246652bbd859749d194d02f6c69ce45	masks/glyph-000130-20x20-key-DBA5.bin
131	0x4c9a28	0xf0a7	a7f000	2	16	16	2	32	951ed979bc300cc40c4e3331f397c91f996cdcd063e66bbb10b09ffb6f218ab8	masks/glyph-000131-16x16-key-F0A7.bin
132	0x4c9a28	0xbbc0	c0bb00	2	16	16	2	32	0edb3d1987c36b4e450d03e88df97ee7a2928e57ff325338589023855af417c1	masks/glyph-000132-16x16-key-BBC0.bin
133	0x4c9a28	0x4fa4	a44f00	2	16	16	2	32	5f98765a425fa80a7dfa28958c382d0de34137a0337e9b6f1c6ac7f38063334d	masks/glyph-000133-16x16-key-4FA4.bin
134	0x4c9a28	0x002b	2b0000	1	16	16	2	32	2ebf2cd9f1c3f7bed054ed6ae6dac4b087622bda72e14c83c3560d6873667c8f	masks/glyph-000134-16x16-key-002B.bin
135	0x4ab998	0xefc1	c1ef00	2	20	20	3	60	e1fe0f9f5449774d21a60f5107a50c0465b5ab7b968f2d90c861b0490897e8e0	masks/glyph-000135-20x20-key-EFC1.bin
136	0x4ab998	0x43bc	bc4300	2	20	20	3	60	839aaf91cb2b3224e31f7a21f9ff2aa9b68df6f004ce3c2a34973c19237e99e4	masks/glyph-000136-20x20-key-43BC.bin
137	0x4ab998	0xb4b5	b5b400	2	20	20	3	60	2cc1477017c217704eb73e127da2ae655f5c3aaeb25c8e79bfb7a6bf2abefcf9	masks/glyph-000137-20x20-key-B4B5.bin
138	0x4ab998	0xa1b1	b1a100	2	20	20	3	60	29348fcc0a06c470c944b25a955b31e66484bc5a281a079172cc32f724259739	masks/glyph-000138-20x20-key-A1B1.bin
139	0x4ab998	0xdfbf	bfdf00	2	20	20	3	60	6502e24f954feedd7bf9a0d79f5b5136a632015baecb6f9971e64caa5ebb4feb	masks/glyph-000139-20x20-key-DFBF.bin
140	0x4ab998	0x53b3	b35300	2	20	20	3	60	f46790222a773825e04c6d8a6f7d7465efab71c54cd0819edf2e07466799fa0f	masks/glyph-000140-20x20-key-53B3.bin
141	0x4ab998	0x62bd	bd6200	2	20	20	3	60	f2d53296c64b0c5a97d87b6d1f4cff0c7f5d0ccc23f352bb7f91c8a9ebfd4210	masks/glyph-000141-20x20-key-62BD.bin
142	0x4c9a28	0x44a5	a54400	2	16	16	2	32	140cb87e8bdfabf82639883a5f373ef914c402212262e8ec082b920124777603	masks/glyph-000142-16x16-key-44A5.bin
143	0x4c9a28	0xa4a8	a8a400	2	16	16	2	32	118d79d37947e82b227a49609bcee735cebcfde6f7ceebcc6cf4df833d1a5bc9	masks/glyph-000143-16x16-key-A4A8.bin
144	0x4c9a28	0x61ae	ae6100	2	16	16	2	32	e705dce3f70a33ef415074b8468abafb0ae242de4addb0d1feef820496bacfb9	masks/glyph-000144-16x16-key-61AE.bin
145	0x4c9a28	0xc7b6	b6c700	2	16	16	2	32	86b9b90eacbd8d1be88be372f9770c96308b4b5c93bfe51c15604fd35e9725aa	masks/glyph-000145-16x16-key-C7B6.bin
146	0x4c9a28	0xa7a4	a4a700	2	16	16	2	32	3527fc03801c9339e789b35206f1ba5b00fced78079c375911fb872ae7eace01	masks/glyph-000146-16x16-key-A7A4.bin
147	0x4c9a28	0x5fc4	c45f00	2	16	16	2	32	748270d1cd316564315396947db9b7efb5edc6461fb748a2acf579dc7ab30335	masks/glyph-000147-16x16-key-5FC4.bin
148	0x4ab998	0xa4a4	a4a400	2	20	20	3	60	7d003afab5218f5c4b8ed558b65bf3d5e9ac7a8cad39a77cc4c85c779e391a67	masks/glyph-000148-20x20-key-A4A4.bin
149	0x4ab998	0xeab0	b0ea00	2	20	20	3	60	1267915f9c18396cb66dc12766a3fac1b66e442f7899d54579f49223c2f6f9c0	masks/glyph-000149-20x20-key-EAB0.bin
150	0x4ab998	0xb3b3	b3b300	2	20	20	3	60	a2b78a366f8c922f47bf8e11747ce490832c1d5c23d41ed3eb00af5db0cb3892	masks/glyph-000150-20x20-key-B3B3.bin
151	0x4ab998	0xb9be	beb900	2	20	20	3	60	efa813754e9dce8804ddba59cf2373d519b1cce3ec19bde682e471ce25c27a4f	masks/glyph-000151-20x20-key-B9BE.bin
152	0x4ab998	0xa7b2	b2a700	2	20	20	3	60	a32cdabf541145ce927a52ae743bb69cdc9f423f0a655d93ba92df793be11e19	masks/glyph-000152-20x20-key-A7B2.bin
153	0x4ab998	0xc6a8	a8c600	2	20	20	3	60	8abcd92557b4dba3f20617c7f89ae87a0f46fd840925ab578b30b4ed4e2a07ed	masks/glyph-000153-20x20-key-C6A8.bin
154	0x4ab998	0xfdbf	bffd00	2	20	20	3	60	6ad6cfed1c52f330bfc059a24fac545256b9a5c9489c01faa1b8f3ec819b8b21	masks/glyph-000154-20x20-key-FDBF.bin
155	0x4ab998	0x7cbe	be7c00	2	20	20	3	60	1bcb4ee65586a1b88613c73396f58a29374abb05ec2b1f8bb18482133e551c75	masks/glyph-000155-20x20-key-7CBE.bin
156	0x4ab998	0x53af	af5300	2	20	20	3	60	8d0623e40621d2985e47ada895286b959aa52829a9b25f010484d65b6640165e	masks/glyph-000156-20x20-key-53AF.bin
157	0x4ab998	0x5eb5	b55e00	2	20	20	3	60	15cc2c7e76a1bac1d9a7686c2458e03017f608dc4e1576b99cd036ad9d9b484d	masks/glyph-000157-20x20-key-5EB5.bin
