command_word_hex	file_bytes_ascii	parameter_words	action_field_effect	all_char.act_occurrences	all_item.act_occurrences	all_magic.act_occurrences	all_sys.act_occurrences	all_map1.act_occurrences	all_map2.act_occurrences	total_occurrences	status
4F56	VO	0	conditional rewind or reset stream cursor	2672	366	10	197	130	27	3402	assembly-recognized
4F58	XO	1	write action+0x5E	450	0	0	0	0	0	450	assembly-recognized
4F59	YO	1	write action+0x60	450	0	0	0	0	0	450	assembly-recognized
5041	AP	1	write action+0x4C and advance packed action+0x40 counter	16448	366	7235	632	283	102	25066	assembly-recognized
5145	EQ	1	write action+0x28	93	0	13	0	0	0	106	assembly-recognized
5246	FR	1	write action+0x4A	3462	366	144	200	144	27	4343	assembly-recognized
524F	OR	1	write action+0x4E	53	0	0	0	0	0	53	assembly-recognized
5344	DS	1	write action+0x46 and refresh action+0x44	4215	0	44	79	46	26	4410	assembly-recognized
534D	MS	0	set action+0x94 to one	429	0	0	0	0	0	429	assembly-recognized
544E	NT	1	write packed action+0x40	3445	366	144	200	144	27	4326	assembly-recognized
5457	WT	1	write low byte to action+0x88	114	0	0	0	0	3	117	assembly-recognized
5649	IV	0	set action+0x18 bit 0	1073	0	2	5	0	0	1080	assembly-recognized
5748	HW	2	write action+0x2C and action+0x30	3994	0	115	227	154	0	4490	assembly-recognized
5756	VW	1	write action+0x58	1601	0	568	3	10	0	2182	assembly-recognized
5859	YX	2	write action+0x10 and action+0x14	3992	0	114	141	153	0	4400	assembly-recognized
6900	.i			0	0	0	0	0	0	1	assembly-default-word
695B	[i			0	0	0	0	0	0	1	assembly-default-word
7575	uu			0	0	0	0	0	0	1	assembly-default-word
9898	..			0	0	0	0	0	0	1	assembly-default-word
9CBD	..			0	0	0	0	0	0	1	assembly-default-word
A39E	..			0	0	0	0	0	0	1	assembly-default-word
A4A8	..			0	0	0	0	0	0	1	assembly-default-word
AAAA	..			0	0	0	0	0	0	1	assembly-default-word
B1AD	..			0	0	0	0	0	0	1	assembly-default-word
B4BA	..			0	0	0	0	0	0	1	assembly-default-word
B589	..			0	0	0	0	0	0	1	assembly-default-word
C46F	o.			0	0	0	0	0	0	1	assembly-default-word
C4B2	..			0	0	0	0	0	0	1	assembly-default-word
C4D3	..			0	0	0	0	0	0	1	assembly-default-word
CFAA	..			0	0	0	0	0	0	1	assembly-default-word
D39B	..			0	0	0	0	0	0	1	assembly-default-word
D79A	..			0	0	0	0	0	0	1	assembly-default-word
E83A	:.			0	0	0	0	0	0	1	assembly-default-word
ED34	4.			0	0	0	0	0	0	1	assembly-default-word
F130	0.			0	0	0	0	0	0	1	assembly-default-word
F5F2	..			0	0	0	0	0	0	1	assembly-default-word
