call_address	owner_function_address	owner_function_name	argument_push_address	argument_expression	register_origin_address	register_origin_instruction	syntactic_origin_class
00450D12	00450C50	sub_450C50	00450CEF	offset dword_4FD638			static_action_object
00450DC6	00450C50	sub_450C50	00450DB1	offset dword_4FD638			static_action_object
00450F3A	00450C50	sub_450C50	00450F35	offset dword_4FD638			static_action_object
00450FF8	00450F90	sub_450F90	00450FF3	offset dword_4FD638			static_action_object
00451466	00451420	sub_451420	00451450	edi	00451436	mov edi, ecx	confirmed_action_wrapper_record
00451511	00451420	sub_451420	00451500	edi	00451436	mov edi, ecx	confirmed_action_wrapper_record
00451562	00451540	sub_451540	00451558	esi			confirmed_action_wrapper_record
00451629	004515E0	sub_4515E0	00451618	esi			confirmed_action_wrapper_record
004516EC	004515E0	sub_4515E0	004516DF	esi			confirmed_action_wrapper_record
004533A3	00453200	sub_453200	0045338E	offset dword_4FC5B0			static_action_object
004585DA	004582B0	sub_4582B0	004585D9	eax	004585B5	lea eax, unk_5202A8[esi]	indexed_static_action_pool
0045896C	004582B0	sub_4582B0	0045896B	edi	0045893E	lea edi, unk_4FE600[esi]	indexed_static_action_pool
00458E50	00458DE0	sub_458DE0	00458E4F	eax	00458E2B	lea eax, unk_5202A8[edi]	indexed_static_action_pool
004591AB	00458DE0	sub_458DE0	004591A2	eax	0045919C	lea eax, unk_4FE600[edi]	indexed_static_action_pool
00459A2B	004599B0	sub_4599B0	00459A2A	eax	00459A07	lea eax, unk_5202A8[esi]	indexed_static_action_pool
00459C5E	00459BF0	sub_459BF0	00459C5D	eax	00459C36	lea eax, unk_524980[esi]	indexed_static_action_pool
00465535	00465480	sub_465480	00465515	offset dword_4FC5B0			static_action_object
00465ACF	004659C0	sub_4659C0	00465ABA	offset dword_4FC5B0			static_action_object
00465ED4	00465E50	sub_465E50	00465EBF	offset dword_4FC5B0			static_action_object
004661F5	00466190	sub_466190	004661E0	offset dword_4FC5B0			static_action_object
00466533	00466500	sub_466500	0046651E	offset dword_4FC5B0			static_action_object
004667CC	004667B0	sub_4667B0	004667B3	offset dword_4FC5B0			static_action_object
00466A2C	00466950	sub_466950	00466A17	offset dword_4FC5B0			static_action_object
00467746	00467710	sub_467710	00467730	offset dword_4FC5B0			static_action_object
00467B0D	00467AC0	sub_467AC0	00467AF4	offset dword_4FC5B0			static_action_object
00467F43	00467F00	sub_467F00	00467F2E	offset dword_4FC5B0			static_action_object
004689B7	00468930	sub_468930	0046899A	offset dword_4FC5B0			static_action_object
00468B73	00468AD0	sub_468AD0	00468B56	offset dword_4FC5B0			static_action_object
004690D4	00469080	sub_469080	004690BF	offset dword_4FC5B0			static_action_object
00469239	00469220	sub_469220	00469220	offset dword_4FC5B0			static_action_object
00469376	00469340	sub_469340	0046935C	offset dword_4FC5B0			static_action_object
0046956D	00469550	sub_469550	00469554	offset dword_4FC5B0			static_action_object
00469695	00469650	sub_469650	00469680	offset dword_4FC5B0			static_action_object
0046999F	00469960	sub_469960	0046998A	offset dword_4FC5B0			static_action_object
00471610	00471540	sub_471540	0047160F	eax	004715DA	lea eax, [esi+468h]	confirmed_battle_actor_action_array
0047183D	004717F0	sub_4717F0	0047183C	eax	00471804	lea eax, [esi+500h]	confirmed_battle_actor_action_array
00471B1D	00471AD0	sub_471AD0	00471B1C	eax	00471AE5	lea eax, [esi+500h]	confirmed_battle_actor_action_array
00471D9F	00471D60	sub_471D60	00471D9E	ebx	00471D6F	lea ebx, [esi+500h]	confirmed_battle_actor_action_array
0047200B	00471FC0	sub_471FC0	0047200A	eax	00471FDD	lea eax, [ebx+2BC8h]	confirmed_battle_group_a_action_array
00472231	004721F0	sub_4721F0	00472230	edi	00472204	lea edi, [esi+338h]	confirmed_battle_actor_action_array
00472515	004724D0	sub_4724D0	00472514	edi	004724DF	lea edi, [esi+338h]	confirmed_battle_actor_action_array
00472934	004728E0	sub_4728E0	00472933	eax	004728F2	lea eax, [esi+338h]	confirmed_battle_actor_action_array
00472D14	00472CE0	sub_472CE0	00472CFD	eax	00472CF2	lea eax, [esi+338h]	confirmed_battle_actor_action_array
00472EF3	00472CE0	sub_472CE0	00472EE6	eax	00472EE0	lea eax, [esi+630h]	confirmed_battle_actor_action_array
004731E9	004731A0	sub_4731A0	004731CE	eax	004731BB	lea eax, [esi+0AF0h]	confirmed_battle_actor_action_array
004735EB	004735B0	sub_4735B0	004735DB	eax	004735CF	lea eax, [esi+0AF0h]	confirmed_battle_actor_action_array
00473892	004735B0	sub_4735B0	0047388B	eax	0047387B	lea eax, [esi+0B88h]	confirmed_battle_actor_action_array
00473D2F	00473C10	sub_473C10	00473D2E	edi	00473D04	lea edi, [esi+500h]	confirmed_battle_actor_action_array
00473EA7	00473C10	sub_473C10	00473E94	eax	00473E7F	lea eax, [esi+500h]	confirmed_battle_actor_action_array
004740DB	00473C10	sub_473C10	004740DA	eax	004740A7	lea eax, [esi+6C8h]	confirmed_battle_actor_action_array
004751F4	004751C0	sub_4751C0	004751DD	eax	004751D2	lea eax, [esi+338h]	confirmed_battle_actor_action_array
00476440	004763D0	sub_4763D0	0047643F	eax	00476408	lea eax, [esi+468h]	confirmed_battle_actor_action_array
00478511	004784A0	sub_4784A0	00478510	eax	0047850C	lea eax, [esp+0A0h+var_98]	confirmed_stack_action_record
0047863B	00478620	sub_478620	0047863A	eax	00478625	lea eax, [ebx+0CB8h]	confirmed_battle_actor_action_array
00478FD1	00478B60	sub_478B60	00478FD0	eax	00478FCA	lea eax, [ebp+2A0h]	confirmed_battle_actor_action_array
00479675	00478B60	sub_478B60	0047966E	eax	00479662	lea eax, [ebp+468h]	confirmed_battle_actor_action_array
00479921	00479850	sub_479850	00479920	edi			confirmed_battle_actor_action_array
0047BB21	0047BA80	sub_47BA80	0047BB20	edi	0047BA8F	lea edi, [ebp+500h]	confirmed_battle_actor_action_array
0047C043	0047BA80	sub_47BA80	0047C040	eax	0047C034	lea eax, [ebp+3D0h]	confirmed_battle_actor_action_array
0047C71C	0047C6B0	sub_47C6B0	0047C71B	eax	0047C6E1	lea eax, [esi+468h]	confirmed_battle_actor_action_array
0047C9D4	0047C950	sub_47C950	0047C9D3	ecx	0047C988	lea ecx, [esi+468h]	confirmed_battle_actor_action_array
0047E6A3	0047E650	sub_47E650	0047E6A2	eax	0047E69F	lea eax, [edi+4]	confirmed_battle_status_action_node
0047F97D	0047F940	sub_47F940	0047F97C	ebp	0047F945	mov ebp, [esp+10h+arg_4]	confirmed_action_pointer_parameter
0047FC8C	0047FC40	sub_47FC40	0047FC8B	eax	0047FC88	lea eax, [esi+4]	confirmed_battle_effect_action_pair
0047FF38	0047FC40	sub_47FC40	0047FF37	eax	0047FF29	lea eax, [esi+9Ch]	confirmed_battle_effect_action_pair
00480B70	00480AE0	sub_480AE0	00480B6D	edi	00480B61	lea edi, [esi+3D0h]	confirmed_battle_actor_action_array
00480D6F	00480D40	sub_480D40	00480D66	edi	00480D57	lea edi, [esi+500h]	confirmed_battle_actor_action_array
004823C4	00482310	sub_482310	004823C3	eax	00482383	lea eax, [esi+500h]	confirmed_battle_actor_action_array
00482459	00482310	sub_482310	00482458	ecx	0048241C	lea ecx, [esi+468h]	confirmed_battle_actor_action_array
00482903	00482840	sub_482840	00482902	eax	004828BE	lea eax, [esi+500h]	confirmed_battle_actor_action_array
00482988	00482840	sub_482840	00482987	eax	00482941	lea eax, [esi+468h]	confirmed_battle_actor_action_array
004831D8	004831C0	sub_4831C0	004831CF	edi	004831C7	mov edi, [esp+18h+arg_4]	confirmed_action_pointer_parameter
00483903	004838D0	sub_4838D0	00483902	edi	004838D7	mov edi, [esp+18h+arg_4]	confirmed_action_pointer_parameter
00483B3A	00483B30	sub_483B30	00483B39	edi	00483B33	mov edi, [esp+0Ch+arg_0]	confirmed_action_pointer_parameter
00483DE3	00483DB0	sub_483DB0	00483DE2	edi	00483DB7	mov edi, [esp+18h+arg_4]	confirmed_action_pointer_parameter
00484239	00484230	sub_484230	00484238	edi	00484232	mov edi, [esp+8+arg_8]	confirmed_action_pointer_parameter
