caller	call_address	first_argument_push	push_span_bytes	arg_0_x	arg_4_y	arg_8_width	arg_C_height	arg_10_flags	arg_14_auxiliary	flags_immediate	low_flags	mode	flip_bits	family_selection
sub_47E650	0x0047E7E2	0x0047E7E1	92	eax	edx	ecx	edx	ecx	0					runtime/unresolved
sub_47E7F0	0x0047E860	0x0047E85F	17	eax	ebp	eax	edx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_47F3C0	0x0047F46C	0x0047F46B	103	eax	edx	ecx	edx	ecx	0					runtime/unresolved
sub_47F3C0	0x0047F52E	0x0047F52D	68	edx	eax	edx	ecx	edx	0					runtime/unresolved
sub_47F580	0x0047F61B	0x0047F61A	50	eax	edx	ecx	edx	ecx	0					runtime/unresolved
sub_47F580	0x0047F6CC	0x0047F6CB	68	edx	eax	edx	ecx	edx	0					runtime/unresolved
sub_47F710	0x0047F860	0x0047F85F	60	edx	ecx	eax	edx	eax	0					runtime/unresolved
sub_47F710	0x0047F8EC	0x0047F8EB	58	edx	ecx	eax	edx	eax	0					runtime/unresolved
sub_47F940	0x0047FBF7	0x0047FBF6	43	eax	edx	ecx	edx	ecx	0					runtime/unresolved
sub_47FC40	0x0047FF12	0x0047FF11	56	eax	edx	ecx	edx	ecx	0					runtime/unresolved
sub_47FC40	0x00480010	0x0048000F	43	ecx	eax	edx	ecx	edx	0					runtime/unresolved
sub_480AE0	0x00480C87	0x00480C86	91	edx	eax	edx	edx	edx	ebp					runtime/unresolved
sub_480AE0	0x00480D22	0x00480D21	177	edx	eax	edx	edx	edx	eax					runtime/unresolved
sub_480D40	0x00480E58	0x00480E57	53	eax	ecx	eax	eax	eax	ebp					runtime/unresolved
sub_480D40	0x00480EC8	0x00480EC7	114	eax	ecx	eax	eax	eax	ecx					runtime/unresolved
sub_4820A0	0x00482224	0x00482223	31	ecx	eax	edx	ecx	ecx	0					runtime/unresolved
sub_4820A0	0x00482285	0x00482284	77	eax	edx	ecx	edx	ecx	0					runtime/unresolved
sub_4820A0	0x00482302	0x00482301	73	edx	eax	edx	ecx	ecx	0					runtime/unresolved
sub_482310	0x00482676	0x00482675	44	ecx	edx	ecx	edx	ecx	eax					runtime/unresolved
sub_482310	0x004827A4	0x004827A3	67	ecx	eax	edx	eax	eax	edi					runtime/unresolved
sub_482310	0x004827E0	0x004827DF	37	ecx	eax	edx	ecx	edx	edi					runtime/unresolved
sub_482310	0x0048282C	0x0048282B	37	ecx	eax	edx	ecx	edx	edi					runtime/unresolved
sub_482840	0x00482BA6	0x00482BA5	46	eax	edx	ecx	edx	ecx	edi					runtime/unresolved
sub_482840	0x00482CBC	0x00482CBB	67	ecx	eax	edx	eax	eax	edi					runtime/unresolved
sub_482840	0x00482CF8	0x00482CF7	43	ecx	eax	edx	ecx	edx	edi					runtime/unresolved
sub_482840	0x00482D3C	0x00482D3B	43	ecx	eax	edx	ecx	edx	edi					runtime/unresolved
sub_4831C0	0x00483508	0x00483507	72	eax	edx	ecx	edx	ecx	ebx					runtime/unresolved
sub_4831C0	0x0048357E	0x0048357D	30	eax	edx	ecx	edx	ecx	ebx					runtime/unresolved
sub_4831C0	0x004835C7	0x004835C6	40	edx	ecx	eax	edx	eax	ebx					runtime/unresolved
sub_4831C0	0x004836CE	0x004836CD	47	edx	eax	edx	ecx	edx	ebx					runtime/unresolved
sub_483700	0x004837FE	0x004837FD	42	edx	ecx	edx	ecx	edx	0					runtime/unresolved
sub_483B30	0x00483CE2	0x00483CE1	100	edx	eax	edx	ecx	edx	0					runtime/unresolved
sub_483B30	0x00483D8C	0x00483D8B	54	ecx	edx	ecx	edx	ecx	0					runtime/unresolved
sub_483DB0	0x00483FA2	0x00483FA1	25	eax	edx	ecx	edx	ecx	edx					runtime/unresolved
sub_484230	0x0048446C	0x0048446B	73	eax	edx	ecx	edx	ecx	0					runtime/unresolved
sub_484230	0x004844E9	0x004844E8	36	ecx	eax	edx	ecx	edx	0					runtime/unresolved
