address	ida_name_navigation_only	catalog_source	code_origin	module_candidate	candidate_confidence	assignment_basis	assembly_direct_callers_address_count	assembly_direct_callees_address_count	follow_up_module	manual_review_scope	review_status
0x00435680	sub_435680	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:3_sites	0x00436030:1;0x00436AD0:2		rendering		mechanical_candidate_not_manually_reviewed
0x004358C0	sub_4358C0	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:1_sites	0x00436410:1		rendering		mechanical_candidate_not_manually_reviewed
0x00435AF0	sub_435AF0	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:2_sites	0x00436AD0:2		rendering		mechanical_candidate_not_manually_reviewed
0x00435D80	sub_435D80	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:2_sites	0x00436AD0:2		rendering		mechanical_candidate_not_manually_reviewed
0x00436030	sub_436030	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:3_sites	0x00436AD0:2	0x00435680:1	rendering		mechanical_candidate_not_manually_reviewed
0x00436410	sub_436410	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:3_sites	0x00436AD0:2	0x004358C0:1	rendering		mechanical_candidate_not_manually_reviewed
0x00436840	sub_436840	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:3_sites	0x004368D0:1	0x00416F10:1;0x00416F60:1	rendering		mechanical_candidate_not_manually_reviewed
0x004368D0	sub_4368D0	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:3_sites	0x00436AD0:1	0x004352E0:1;0x00436840:1	rendering		mechanical_candidate_not_manually_reviewed
0x00436980	sub_436980	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:1_sites	0x00436AD0:1		rendering		mechanical_candidate_not_manually_reviewed
0x004369C0	sub_4369C0	ida_export_catalog	game	rendering	medium	address_cluster:font_and_glyph_cluster;assembly_direct_call_graph:1_sites	0x00436AD0:1		rendering		mechanical_candidate_not_manually_reviewed
