call_address	caller	six_push_addresses_oldest_to_newest	destination_operand	x_operand	y_operand	string_operand	color_operand	style_operand	static_style_value	selected_style	foreground_row_delta	intervening_call_count
0x004688EF	sub_467F00	0x004688D7,0x004688D9,0x004688DE,0x004688DF,0x004688E4,0x004688E9	ecx	158h	0F0h	eax	0F000h	10h	0x10	0x10	0	0
0x00468A5B	sub_468930	0x00468A3F,0x00468A45,0x00468A4A,0x00468A4B,0x00468A50,0x00468A55	ecx	104h	0BCh	eax	0FFFFh	10h	0x10	0x10	0	0
0x00468AB9	sub_468930	0x00468A8E,0x00468AA1,0x00468AAC,0x00468AAD,0x00468AB2,0x00468AB3	edx	esi	0D2h	ecx	0F000h	10h	0x10	0x10	0	0
0x00468C15	sub_468AD0	0x00468BF9,0x00468BFF,0x00468C04,0x00468C05,0x00468C0A,0x00468C0F	edx	104h	0BCh	ecx	0FFFFh	10h	0x10	0x10	0	0
0x00468C72	sub_468AD0	0x00468C54,0x00468C5A,0x00468C65,0x00468C66,0x00468C6B,0x00468C6C	eax	esi	0D2h	edx	0F000h	10h	0x10	0x10	0	0
0x00468FD7	sub_468ED0	0x00468FBB,0x00468FC1,0x00468FC6,0x00468FC7,0x00468FCC,0x00468FD1	edx	0D8h	0DAh	ecx	0FFC0h	10h	0x10	0x10	0	0
0x00469148	sub_469080	0x0046912C,0x0046912E,0x00469133,0x00469138,0x0046913D,0x00469142	ecx	108h	0B4h	offset byte_4A7AF4	0FFC0h	10h	0x10	0x10	0	0
0x004691E3	sub_469080	0x004691CF,0x004691D1,0x004691D6,0x004691D7,0x004691D8,0x004691DD	edx	0D2h	ebx	ecx	0FFC0h	10h	0x10	0x10	0	0
0x004692B0	sub_469220	0x00469299,0x0046929B,0x004692A0,0x004692A5,0x004692AA,0x004692AF	edx	104h	0B4h	offset byte_4A7B08	0FFC0h	10h	0x10	0x10	0	0
0x0046932A	sub_469220	0x0046930E,0x00469310,0x00469315,0x0046931A,0x0046931F,0x00469324	edx	0FEh	0D8h	offset byte_4A7AFC	0FFC0h	10h	0x10	0x10	0	0
0x00469443	sub_469340	0x0046941D,0x00469421,0x0046942E,0x00469433,0x00469438,0x0046943D	edx	100h	0B4h	offset byte_4A7B3C	0FFC0h	10h	0x10	0x10	0	0
